gene,mean_marco_spots,pct_marco_spots,mean_neighbors,pct_neighbors,mean_distant,pct_distant,log2fc_neighbor_vs_distant,pval,padj
Tpm3,2.9651,76.8,2.101,67.6,1.6145,64.0,0.378,0.0005584275138528371,0.0028509502640401497
Car9,0.7937,36.5,0.9209,44.8,0.707,41.5,0.377,0.019268537262954036,0.05654610362103024
Ston2,0.1841,16.5,0.1825,14.2,0.1383,11.4,0.377,0.028342714549960485,0.07698293411742387
Ccng2,1.7238,62.5,1.6083,56.0,1.2362,46.7,0.377,2.1572338904983368e-06,2.0241929065119764e-05
Asap3,0.1397,12.1,0.0839,7.9,0.0623,5.8,0.377,0.030664989420431443,0.08167814177318643
Chpf2,0.6381,41.3,0.3698,30.2,0.2824,23.1,0.377,6.756260045135123e-05,0.0004462679507404553
Prrg1,0.1111,10.5,0.0316,3.0,0.0221,2.2,0.377,0.17800786147428782,0.3174034836577458
Ccl9,0.9175,44.4,0.5158,33.5,0.3948,29.1,0.377,0.004783939796230256,0.017944078551875492
Rora,0.0952,7.3,0.09,8.3,0.067,6.4,0.377,0.06487549345543021,0.1478606233567068
Cabin1,0.4794,34.9,0.4732,35.3,0.3622,29.1,0.377,0.00020426714037962646,0.0011767821389595968
Fbxo4,0.3683,30.5,0.2993,24.6,0.2282,19.2,0.377,0.0009050006956405292,0.004332001688024261
Ager,0.0444,4.4,0.0316,3.2,0.0221,2.1,0.377,0.07870814752490833,0.17158681914476878
Arid5b,0.3651,27.3,0.2652,21.9,0.2019,17.6,0.377,0.004408469752712027,0.016737960489675043
Bace1,0.2063,17.5,0.1642,14.1,0.1243,10.8,0.376,0.009997218454870256,0.03316721566053022
Lhfpl5,0.0095,1.0,0.0255,1.8,0.0174,1.3,0.376,0.29148584674804945,0.4529361011608935
Lmo7,1.9397,56.8,1.8978,58.3,1.4606,54.2,0.376,0.0008262836610068659,0.004008080085688558
Arxes2,0.0889,7.9,0.0487,4.4,0.0352,3.0,0.376,0.05250938608975532,0.12539516406474957
Prr3,0.1524,14.6,0.1241,11.7,0.0933,8.7,0.376,0.010648460607369814,0.03489477946827634
Rest,0.3302,26.3,0.2105,18.4,0.1599,14.2,0.376,0.0038333107292766425,0.014832096751756957
Hmga1,0.0794,7.0,0.0487,4.6,0.0352,3.4,0.376,0.12102682663570356,0.2370338828780605
Fmnl2,0.2317,20.3,0.101,8.9,0.0755,6.7,0.376,0.03769699940941406,0.09668428869445607
Morn4,0.0286,2.9,0.0255,2.3,0.0174,1.4,0.376,0.09457751815043676,0.19722460587866555
Dlk1,0.0254,2.2,0.0255,2.3,0.0174,1.5,0.376,0.13751891155438814,0.26179190335418934
Elmo2,0.473,32.7,0.2518,20.6,0.1917,16.3,0.376,0.004169375066117612,0.015967283881816816
Irf9,0.9651,54.9,0.6046,39.9,0.4635,33.9,0.376,0.0002432905818674711,0.0013711289609997183
Notch3,0.2127,17.1,0.1411,10.8,0.1064,8.8,0.376,0.08022077241400105,0.17405223647474935
D730045B01Rik,0.019,1.9,0.0255,2.4,0.0174,1.7,0.376,0.21011972883137697,0.3592099547016545
Usp18,0.327,21.0,0.1752,11.1,0.1327,9.0,0.376,0.06927190313798452,0.1558539864517412
Ppp1r9b,0.619,41.3,0.4209,31.6,0.3223,25.4,0.375,0.00029298130694923506,0.0016162155953483135
