names,scores,logfoldchanges,pvals,pvals_adj
OAZ1,3.3244517,0.3178667,0.0008859258395751443,0.06375634359558462
GBP2,3.3087149,1.0972196,0.000937252015693031,0.06694101472083773
IL10,3.2909753,1.7923813,0.0009984064213025515,0.07024846965053305
HM13,3.2866836,0.90508,0.0010137467468638347,0.0709723350929891
CNBP,3.284967,0.53584677,0.0010199437388541785,0.0709723350929891
ARRB2,3.2720914,0.6598584,0.0010675507620416765,0.07374282216482778
FKBP1A,3.2706606,0.53581315,0.0010729654492218062,0.07380339822129155
F13A1,3.2698023,1.6317275,0.0010762264441843117,0.07380339822129155
VMP1,3.2368984,0.72926843,0.0012083644843740287,0.08226875753865914
ETS2,3.2268841,0.70450366,0.0012514615160755167,0.08369756931011062
TMEM50A,3.212578,0.64623964,0.0013154943471801336,0.08767028700379714
CALM3,3.210289,0.75275856,0.0013260158184346855,0.08806140840530981
MCEMP1,3.208,2.1838002,0.0013366148890793488,0.0884549300895274
LILRA5,3.201419,0.9855994,0.001367524156848047,0.09018512096398253
RAB31,3.1936939,0.62743163,0.0014046496096326306,0.09231181653304445
RNF13,3.189402,0.73626506,0.0014256742459294567,0.0933693302861828
GYPC,3.1765265,0.9401081,0.0014905012043906554,0.09661204210788335
GSTO1,3.1690874,0.60960066,0.0015291838963378327,0.09878110445729064
BLVRA,3.1542091,1.0445945,0.0016093374197801579,0.10360520185094914
ASPH,3.1530645,1.446184,0.0016156605171978068,0.10365968342034877
MT-ND1,3.1504896,0.3067963,0.0016299711779229572,0.10387361779309028
EIF1B,3.1410475,0.89481705,0.0016834474435631272,0.10656391225524853
TYMP,3.1313193,0.46906343,0.0017402282986417556,0.1094262491973173
HLA-C,3.1107185,0.33355522,0.0018663273963389886,0.11619729812667118
VAMP3,3.0964124,1.0058329,0.001958777052948557,0.12076147648585453
LCP2,3.0904038,0.67679083,0.001998844944888462,0.12283161776592179
LILRB4,3.0843954,0.8270389,0.0020396638013225176,0.12413092208241573
CAB39,3.0843954,1.2358608,0.0020396638013225176,0.12413092208241573
C9orf72,3.0529218,1.0306691,0.0022662491980261477,0.1356976330682397
TOP1,3.0526357,0.7620909,0.0022684109040402535,0.1356976330682397
DPYD,3.0520635,1.0517921,0.0022727399842886876,0.1356976330682397
ADAM9,3.048344,1.1684986,0.0023010639909427687,0.13695672376281065
POMP,3.0463412,0.454754,0.002316448949845136,0.13701071648037152
IL1B,3.043766,1.0094577,0.0023363680353140426,0.1377583732223953
ERGIC1,3.0403326,1.1297491,0.0023631708220863226,0.1389060066758628
PLIN2,3.0389018,1.0810579,0.002374421509119095,0.1389370628691973
RNF7,3.0374713,0.6701382,0.0023857212147983895,0.1389370628691973
NDUFA13,3.0174427,0.60217094,0.002549171793130544,0.14665098640906324
MIR3945HG,3.0094314,1.7490811,0.0026173722783321435,0.14966466801206188
STAT6,3.0068562,1.1954615,0.002639645591621323,0.1504836509416168
SMIM3,2.9802468,1.2402891,0.0028801614044016636,0.16175909466204835
TNFSF13B,2.976241,0.81362426,0.002918052676183584,0.16340231657433932
HNMT,2.9733799,0.78663456,0.002945395818753941,0.16444692230547445
MBNL1,2.9722354,0.5942316,0.0029563983888757786,0.16455249880635753
NPL,2.9713771,1.3547148,0.002964674913772279,0.16455249880635753
UQCRC1,2.9599323,0.66995704,0.003077067183599968,0.16832268954912308
CLIC1,2.9585016,0.30481267,0.00309138612372924,0.16861863159603266
LGALS1,2.9564989,0.5045976,0.003111534722065319,0.16922993587508706
SHKBP1,2.945626,0.88397264,0.0032230170763484435,0.1747909576047192
ATP6V1B2,2.9436233,0.6947512,0.0032439459786463573,0.17542333010811315
TOM1,2.931606,1.2790965,0.0033721409605664346,0.18183621641208234
SNX10,2.9281726,0.78510827,0.0034096061173607647,0.1833341334752477
GNG2,2.9270282,1.1437111,0.0034221784625466244,0.18348887184311602
HSPA5,2.9201612,0.70316255,0.0034985028528534716,0.18705130931061487
CSDE1,2.9150112,0.5465883,0.0035567591680116025,0.18856801336962353
GPBAR1,2.91215,2.0701897,0.003589503800804111,0.1897724537369257
CXCL8,2.910433,1.0234505,0.0036092819608421122,0.19028657290489878
PFDN5,2.9087164,0.30668,0.0036291591884116694,0.19080304433074352
ACSL3,2.9038522,1.3187315,0.0036860198244746374,0.19325567096352209
ATP6AP2,2.9015634,0.5643798,0.0037130570265972167,0.19413544293482188
SNX2,2.8969853,0.65629727,0.0037676729921533236,0.19590864484199438
FKBP5,2.886685,0.8459368,0.0038932379325543032,0.20078287288679916
RHBDF2,2.8858266,1.1872422,0.0039038713665277463,0.20078416672356159
HMOX1,2.8849683,0.8891214,0.0039145311731822625,0.2007868062732268
FBP1,2.877243,1.2762585,0.004011665731277341,0.20521296566455738
LILRA6,2.8720927,1.756804,0.0040776323660955795,0.2074659886911049
EIF1,2.869804,0.2941043,0.0041072656467300754,0.20841345012241325
PECAM1,2.8549254,0.92327535,0.004304693145363482,0.21726647243278563
