names,scores,logfoldchanges,pvals,pvals_adj
Kcna4,-0.6274365,-4.113902,0.5303731486034686,1.0
1700096K18Rik,-0.62764347,-0.24963264,0.5302375225695293,1.0
Shmt1,-0.62764347,0.1621542,0.5302375225695293,1.0
Zfp2,-0.6279677,-1.2916005,0.5300250772053705,1.0
A230083N12Rik,-0.6282782,-1.8135525,0.5298217126022785,1.0
Prkg1,-0.6283541,-1.0908114,0.5297720072872014,1.0
Garnl3,-0.63098264,-0.59513396,0.5280518599028808,1.0
Lingo4,-0.6316036,-3.3484359,0.5276459418333039,1.0
Fip1l1,-0.63167256,0.30452946,0.527600849648592,1.0
Prelid3a,-0.6317071,-2.0375423,0.5275783042931319,1.0
Nvl,-0.63212794,0.17481247,0.5273032905196612,1.0
Gucy1a1,-0.63286614,-1.068353,0.5268210660257844,1.0
Slc9a4,-0.6331076,-1.1578568,0.5266633779216587,1.0
Csf2rb2,-0.63363194,0.08740409,0.5263210524742803,1.0
Nnt,-0.63365954,-0.6768361,0.5263030384949465,1.0
Pigl,-0.634108,-0.6276468,0.5260103554865547,1.0
Cc2d2a,-0.63417006,-1.692681,0.5259698367049528,1.0
Suds3,-0.6342184,0.08368625,0.5259383232000844,1.0
Gm13166,-0.6345012,-0.9577198,0.5257537634845987,1.0
Ccdc51,-0.634791,-0.5043235,0.5255647366558255,1.0
Sirt4,-0.63525325,-0.41914025,0.5252632658282034,1.0
Rtkn,-0.6353291,-2.436475,0.5252137790754339,1.0
Gm16033,-0.63561887,-2.7275062,0.5250248516042526,1.0
Gm2245,-0.6356603,-1.7887827,0.5249978648055699,1.0
9130008F23Rik,-0.63592243,-0.39645568,0.5248269649050817,1.0
Abcb8,-0.6360949,-0.24182656,0.5247145462967782,1.0
Gm10069,-0.63613635,-2.0118318,0.5246875676658747,1.0
Grb14,-0.6362122,-1.3193939,0.524638108687674,1.0
Bbx,-0.63666755,0.038071565,0.524341404971334,1.0
Kpna1,-0.63774383,0.029190969,0.52364044722297,1.0
Zfp248,-0.6377645,-1.2054187,0.5236269719782825,1.0
Zfp942,-0.6379439,-0.05791208,0.5235101939756114,1.0
Pygm,-0.6390409,-0.3602083,0.5227963423806153,1.0
Plekhg2,-0.63914436,-0.40476468,0.5227290237048163,1.0
Ccpg1os,-0.6398412,-0.917539,0.5222758605664817,1.0
C030006K11Rik,-0.63991016,-0.40424743,0.5222310039168891,1.0
Zfp72,-0.64015853,-1.142301,0.5220695363761825,1.0
Gm29243,-0.64050347,-1.5468855,0.5218453184905445,1.0
Gm13710,-0.6407174,-1.4271871,0.5217063282767729,1.0
Trim69,-0.64095885,-1.5880971,0.5215494267315985,1.0
Azin1,-0.64104164,0.19720574,0.5214956375056934,1.0
Itgb1bp1,-0.6411934,-0.015628494,0.5213970313390839,1.0
Nrf1,-0.6421593,0.036630493,0.5207697624395473,1.0
Ccdc166,-0.6426836,-0.9277667,0.5204294078946718,1.0
Cfap36,-0.6430079,-0.061490636,0.5202189828618967,1.0
Gm50070,-0.64410484,-2.3746622,0.5195074447670226,1.0
Tfam,-0.6463678,0.25205407,0.5180412060288347,1.0
Sema4f,-0.64725775,-0.48835436,0.5174651319905521,1.0
Mlst8,-0.64731294,-0.2631823,0.5174294173909584,1.0
